"ENSG_id","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000232533.1",0.21,1.2,"(0.952-1.61)","2.55","0.111",2.55,0.111,"AC093673.5"
"ENSG00000260032.1",-0.12,0.88,"(0.665-1.17)","0.74","0.391",0.74,0.391,"LINC00657"
"ENSG00000230555.2",-0.011,0.99,"(0.82-1.19)","0.01","0.907",0.01,0.907,"RP11-517P14.2"
"ENSG00000257303.1",-0.086,0.92,"(0.777-1.08)","1.01","0.315",1.01,0.315,"RP11-977G19.11"
"ENSG00000203993.4",0.56,1.8,"(1.2-2.58)","8.35","0.00385",8.35,0.00385,"ARRDC1-AS1"
"ENSG00000225377.4",0.053,1.1,"(0.832-1.34)","0.19","0.661",0.19,0.661,"NRSN2-AS1"
"ENSG00000203688.4",-0.037,0.96,"(0.864-1.07)","0.45","0.503",0.45,0.503,"RP11-351J23.1"
"ENSG00000259976.1",0.087,1.1,"(0.895-1.33)","0.74","0.389",0.74,0.389,"RP11-553L6.5"
"ENSG00000249007.1",0.056,1.1,"(0.912-1.23)","0.55","0.456",0.55,0.456,"RP11-510N19.5"
"ENSG00000261295.1",-0.016,0.98,"(0.891-1.09)","0.11","0.744",0.11,0.744,"RP11-524D16__A.3"
"ENSG00000263272.1",0.27,1.3,"(1.05-1.64)","5.5","0.019",5.5,0.019,"CTC-524C5.2"
"ENSG00000233016.5",0.33,1.4,"(1.08-1.8)","6.45","0.0111",6.45,0.0111,"SNHG7"
"ENSG00000261455.1",0.19,1.2,"(0.964-1.52)","2.72","0.0994",2.72,0.0994,"LINC01003"
"ENSG00000275764.1",0.019,1,"(0.818-1.27)","0.03","0.869",0.03,0.869,"RP11-582E3.6"
"ENSG00000272440.1",-0.008,0.99,"(0.929-1.06)","0.06","0.811",0.06,0.811,"RP11-379F4.6"
"ENSG00000278768.1",0.17,1.2,"(0.877-1.59)","1.2","0.273",1.2,0.273,"BACE1-AS"
"ENSG00000258634.3",0.18,1.2,"(0.911-1.58)","1.69","0.194",1.69,0.194,"RP4-773N10.4"
"ENSG00000265666.1",0.17,1.2,"(0.929-1.51)","1.87","0.172",1.87,0.172,"RARA-AS1"
"ENSG00000226328.5",-0.074,0.93,"(0.734-1.18)","0.38","0.54",0.38,0.54,"NUP50-AS1"
"ENSG00000260231.1",-0.023,0.98,"(0.766-1.25)","0.03","0.856",0.03,0.856,"JHDM1D-AS1"
"ENSG00000227946.1",0.013,1,"(0.854-1.2)","0.02","0.881",0.02,0.881,"AC007383.3"
"ENSG00000267221.1",0.086,1.1,"(0.925-1.28)","1.06","0.303",1.06,0.303,"CTD-2132N18.2"
"ENSG00000268858.2",0.22,1.2,"(0.948-1.64)","2.49","0.115",2.49,0.115,"RP4-591C20.9"
"ENSG00000233429.8",0.044,1,"(0.881-1.24)","0.25","0.615",0.25,0.615,"HOTAIRM1"
"ENSG00000272686.1",0.0085,1,"(0.77-1.32)","0","0.951",0,0.951,"RP11-390E23.6"
"ENSG00000267904.1",0.082,1.1,"(0.899-1.31)","0.73","0.394",0.73,0.394,"CTC-429P9.5"
"ENSG00000248771.4",-0.11,0.89,"(0.79-1.01)","3.33","0.068",3.33,0.068,"LINC01207"
"ENSG00000264577.1",0.12,1.1,"(0.892-1.43)","1.02","0.312",1.02,0.312,"AC010761.8"
"ENSG00000275202.1",-0.035,0.97,"(0.788-1.18)","0.11","0.736",0.11,0.736,"RP11-156K23.3"
"ENSG00000273162.1",0.09,1.1,"(0.892-1.34)","0.75","0.388",0.75,0.388,"RP11-108L7.15"
"ENSG00000260704.1",0.093,1.1,"(0.907-1.33)","0.92","0.338",0.92,0.338,"LINC00543"
"ENSG00000273373.1",0.11,1.1,"(0.945-1.32)","1.68","0.194",1.68,0.194,"RP5-1074L1.4"
"ENSG00000275494.1",0.037,1,"(0.865-1.24)","0.16","0.689",0.16,0.689,"RP11-266L9.8"
"ENSG00000259342.1",-0.0011,1,"(0.91-1.1)","0","0.981",0,0.981,"RP11-519G16.5"
"ENSG00000260766.1",-0.011,0.99,"(0.76-1.29)","0.01","0.934",0.01,0.934,"RP11-226L15.5"
"ENSG00000235029.1",0.045,1,"(0.923-1.19)","0.5","0.481",0.5,0.481,"MNX1-AS2"
"ENSG00000230844.2",0.21,1.2,"(0.951-1.62)","2.52","0.112",2.52,0.112,"ZNF674-AS1"
"ENSG00000269352.1",0.22,1.3,"(0.996-1.57)","3.71","0.0541",3.71,0.0541,"PTOV1-AS2"
"ENSG00000257621.6",0.16,1.2,"(0.884-1.56)","1.22","0.269",1.22,0.269,"PSMA3-AS1"
"ENSG00000261643.1",0.14,1.1,"(0.925-1.43)","1.57","0.209",1.57,0.209,"RP11-529E10.6"
"ENSG00000188206.6",0.076,1.1,"(0.917-1.27)","0.84","0.36",0.84,0.36,"HNRNPU-AS1"
"ENSG00000231365.4",0.12,1.1,"(0.847-1.51)","0.7","0.404",0.7,0.404,"RP11-418J17.1"
"ENSG00000225329.2",0.0075,1,"(0.931-1.09)","0.04","0.851",0.04,0.851,"LHFPL3-AS2"
"ENSG00000261123.1",-0.074,0.93,"(0.731-1.18)","0.36","0.548",0.36,0.548,"RP11-304L19.3"
"ENSG00000245694.7",0.059,1.1,"(0.933-1.21)","0.82","0.364",0.82,0.364,"CRNDE"
"ENSG00000237943.5",0.072,1.1,"(0.924-1.25)","0.87","0.351",0.87,0.351,"PRKCQ-AS1"
"ENSG00000212694.7",0.24,1.3,"(1.02-1.58)","4.42","0.0356",4.42,0.0356,"LINC01089"
"ENSG00000265800.1",0.11,1.1,"(0.952-1.31)","1.83","0.177",1.83,0.177,"RP11-649A18.5"
"ENSG00000278600.1",0.25,1.3,"(1.01-1.62)","4.33","0.0374",4.33,0.0374,"RP11-81A1.6"
"ENSG00000261474.1",0.26,1.3,"(1.03-1.65)","4.84","0.0279",4.84,0.0279,"RP11-452L6.1"
"ENSG00000204860.4",0.14,1.1,"(0.974-1.35)","2.72","0.0993",2.72,0.0993,"FAM201A"
"ENSG00000275964.1",0.13,1.1,"(0.923-1.4)","1.47","0.225",1.47,0.225,"RP11-61K9.3"
"ENSG00000274104.1",0.016,1,"(0.825-1.25)","0.02","0.88",0.02,0.88,"CTD-2553L13.10"
"ENSG00000248243.1",-0.027,0.97,"(0.835-1.14)","0.11","0.735",0.11,0.735,"RP11-93K22.13"
"ENSG00000225733.4",-0.35,0.7,"(0.485-1.02)","3.38","0.0658",3.38,0.0658,"FGD5-AS1"
"ENSG00000267751.4",0.036,1,"(0.881-1.22)","0.19","0.662",0.19,0.662,"AC009005.2"
"ENSG00000267523.1",0.18,1.2,"(1.02-1.41)","4.87","0.0273",4.87,0.0273,"CTD-2537I9.12"
"ENSG00000235823.1",0.22,1.2,"(0.95-1.63)","2.52","0.112",2.52,0.112,"OLMALINC"
"ENSG00000280120.1",0.024,1,"(0.814-1.29)","0.04","0.841",0.04,0.841,"RP11-546D6.3"
"ENSG00000257660.4",0.042,1,"(0.91-1.19)","0.37","0.545",0.37,0.545,"RP11-579D7.4"
"ENSG00000274993.1",-0.023,0.98,"(0.871-1.1)","0.15","0.699",0.15,0.699,"RP11-395B7.2"
"ENSG00000231412.2",0.018,1,"(0.959-1.08)","0.34","0.56",0.34,0.56,"CTC-490G23.2"
"ENSG00000219545.8",0.037,1,"(0.745-1.45)","0.05","0.827",0.05,0.827,"UMAD1"
"ENSG00000281398.1",-0.046,0.95,"(0.778-1.17)","0.2","0.656",0.2,0.656,"SNHG4"
"ENSG00000273893.1",-0.066,0.94,"(0.804-1.09)","0.72","0.396",0.72,0.396,"RP1-101A2.1"
"ENSG00000186594.11",0.067,1.1,"(0.851-1.34)","0.33","0.564",0.33,0.564,"MIR22HG"
"ENSG00000268516.2",-0.051,0.95,"(0.715-1.26)","0.12","0.728",0.12,0.728,"CTD-3138B18.5"
"ENSG00000264575.1",0.004,1,"(0.879-1.15)","0","0.953",0,0.953,"LINC00526"
"ENSG00000266402.3",-0.025,0.97,"(0.889-1.07)","0.29","0.588",0.29,0.588,"RP11-329L6.2"
"ENSG00000244649.3",-0.0063,0.99,"(0.886-1.11)","0.01","0.915",0.01,0.915,"CTD-2377D24.6"
"ENSG00000229152.2",0.057,1.1,"(0.932-1.2)","0.77","0.381",0.77,0.381,"ANKRD10-IT1"
"ENSG00000279672.1",0.19,1.2,"(0.995-1.46)","3.66","0.0557",3.66,0.0557,"CMB9-55F22.1"
"ENSG00000236017.6",0.16,1.2,"(1-1.36)","3.92","0.0476",3.92,0.0476,"ASMTL-AS1"
"ENSG00000263429.3",-0.032,0.97,"(0.873-1.07)","0.37","0.542",0.37,0.542,"LINC00675"
"ENSG00000271780.1",0.2,1.2,"(0.947-1.56)","2.36","0.125",2.36,0.125,"RP11-1017G21.5"
"ENSG00000253352.7",0.1,1.1,"(0.83-1.48)","0.48","0.487",0.48,0.487,"TUG1"
"ENSG00000255737.2",0.13,1.1,"(0.919-1.4)","1.36","0.243",1.36,0.243,"AGAP2-AS1"
"ENSG00000225138.6",0.054,1.1,"(0.934-1.19)","0.75","0.386",0.75,0.386,"CTD-2228K2.7"
"ENSG00000227053.1",0.031,1,"(0.901-1.18)","0.2","0.654",0.2,0.654,"RP11-395B7.4"
"ENSG00000250266.1",-0.01,0.99,"(0.94-1.04)","0.16","0.69",0.16,0.69,"RP11-789C1.1"
"ENSG00000196696.11",0.13,1.1,"(0.93-1.41)","1.62","0.203",1.62,0.203,"PDXDC2P"
"ENSG00000146521.8",0.018,1,"(0.906-1.14)","0.1","0.757",0.1,0.757,"LINC01558"
"ENSG00000253948.1",0.035,1,"(0.901-1.19)","0.24","0.621",0.24,0.621,"RP11-410L14.2"
"ENSG00000266036.1",0.058,1.1,"(0.927-1.21)","0.72","0.396",0.72,0.396,"RP11-452I5.2"
"ENSG00000205664.9",0.0078,1,"(0.768-1.32)","0","0.955",0,0.955,"RP11-706O15.1"
"ENSG00000250899.3",0.053,1.1,"(0.82-1.36)","0.17","0.678",0.17,0.678,"RP11-253E3.3"
"ENSG00000274383.1",0.12,1.1,"(0.995-1.28)","3.54","0.06",3.54,0.06,"CTD-2017F17.2"
"ENSG00000204282.4",0.37,1.4,"(1.14-1.82)","9.38","0.0022",9.38,0.0022,"TNRC6C-AS1"
"ENSG00000261068.2",0.063,1.1,"(0.911-1.24)","0.63","0.429",0.63,0.429,"RP11-7K24.3"
"ENSG00000235453.6",-0.027,0.97,"(0.708-1.34)","0.03","0.867",0.03,0.867,"TOPORS-AS1"
"ENSG00000273015.2",0.13,1.1,"(0.816-1.59)","0.59","0.443",0.59,0.443,"RP11-352M15.2"
"ENSG00000270039.1",-0.0097,0.99,"(0.852-1.15)","0.02","0.899",0.02,0.899,"RP11-571M6.17"
"ENSG00000236871.5",0.1,1.1,"(0.964-1.27)","2.05","0.152",2.05,0.152,"LINC00106"
"ENSG00000215256.3",0.076,1.1,"(0.807-1.44)","0.26","0.61",0.26,0.61,"DHRS4-AS1"
"ENSG00000260920.2",-0.22,0.8,"(0.64-0.997)","3.95","0.0469",3.95,0.0469,"RP1-228H13.5"
"ENSG00000271032.1",0.018,1,"(0.906-1.14)","0.09","0.768",0.09,0.768,"CTD-2527I21.14"
"ENSG00000204685.6",0.45,1.6,"(1.04-2.38)","4.56","0.0326",4.56,0.0326,"STARD7-AS1"
"ENSG00000247271.5",0.069,1.1,"(0.816-1.41)","0.25","0.618",0.25,0.618,"ZBED5-AS1"
"ENSG00000266651.1",0.089,1.1,"(0.942-1.27)","1.37","0.242",1.37,0.242,"RP11-138I1.3"
"ENSG00000178977.3",-0.12,0.88,"(0.702-1.11)","1.11","0.291",1.11,0.291,"LINC00324"
"ENSG00000247903.1",0.039,1,"(0.86-1.26)","0.16","0.688",0.16,0.688,"RP11-421F16.3"
"ENSG00000273226.1",0.042,1,"(0.868-1.25)","0.2","0.654",0.2,0.654,"RP11-513M16.8"
"ENSG00000268713.1",0.24,1.3,"(0.953-1.69)","2.66","0.103",2.66,0.103,"CTC-444N24.8"
"ENSG00000224961.1",0.037,1,"(0.956-1.13)","0.78","0.377",0.78,0.377,"RP1-278O22.1"
"ENSG00000271122.1",0.12,1.1,"(0.854-1.49)","0.71","0.399",0.71,0.399,"RP11-379H18.1"
"ENSG00000281649.1",0.025,1,"(0.724-1.45)","0.02","0.887",0.02,0.887,"EBLN3"
"ENSG00000244701.1",0.069,1.1,"(0.867-1.32)","0.41","0.522",0.41,0.522,"RP5-894A10.2"
"ENSG00000267296.2",-0.1,0.9,"(0.729-1.12)","0.86","0.355",0.86,0.355,"CEBPA-AS1"
"ENSG00000269958.1",0.078,1.1,"(0.769-1.52)","0.2","0.653",0.2,0.653,"RP11-73M18.8"
"ENSG00000244567.1",0.098,1.1,"(0.875-1.39)","0.69","0.405",0.69,0.405,"AC096772.6"
"ENSG00000260740.2",-0.0015,1,"(0.893-1.12)","0","0.979",0,0.979,"AC026471.6"
"ENSG00000267194.1",-0.15,0.86,"(0.73-1.01)","3.6","0.0577",3.6,0.0577,"RP1-193H18.2"
"ENSG00000247844.1",0.0059,1,"(0.865-1.17)","0.01","0.94",0.01,0.94,"CCAT1"
"ENSG00000235313.1",0.018,1,"(0.915-1.13)","0.11","0.745",0.11,0.745,"HM13-IT1"
"ENSG00000234286.1",0.02,1,"(0.957-1.09)","0.36","0.546",0.36,0.546,"AC006026.13"
"ENSG00000251562.6",0.049,1.1,"(0.932-1.19)","0.65","0.421",0.65,0.421,"MALAT1"
"ENSG00000276718.1",0.091,1.1,"(0.902-1.33)","0.85","0.357",0.85,0.357,"RP1-102E24.10"
"ENSG00000248092.6",-0.079,0.92,"(0.732-1.17)","0.44","0.507",0.44,0.507,"NNT-AS1"
"ENSG00000257084.1",0.18,1.2,"(0.962-1.48)","2.6","0.107",2.6,0.107,"U47924.27"
"ENSG00000260401.1",0.059,1.1,"(0.875-1.29)","0.36","0.546",0.36,0.546,"RP11-800A3.4"
"ENSG00000279806.1",-0.023,0.98,"(0.879-1.09)","0.17","0.679",0.17,0.679,"RP11-58O9.2"
"ENSG00000247095.2",0.34,1.4,"(1.18-1.68)","13.9","0.000194",13.9,0.000194,"MIR210HG"
"ENSG00000272894.4",-0.05,0.95,"(0.768-1.18)","0.21","0.646",0.21,0.646,"RP5-1159O4.1"
"ENSG00000234912.8",0.17,1.2,"(0.899-1.57)","1.47","0.226",1.47,0.226,"SNHG20"
"ENSG00000203497.2",0.1,1.1,"(0.807-1.52)","0.39","0.531",0.39,0.531,"PDCD4-AS1"
"ENSG00000174365.18",0.005,1,"(0.785-1.29)","0","0.968",0,0.968,"SNHG11"
"ENSG00000261061.1",-0.043,0.96,"(0.722-1.27)","0.09","0.769",0.09,0.769,"RP11-303E16.2"
"ENSG00000266010.1",0.081,1.1,"(0.906-1.3)","0.78","0.376",0.78,0.376,"GATA6-AS1"
"ENSG00000263753.5",-0.0029,1,"(0.838-1.19)","0","0.974",0,0.974,"LINC00667"
"ENSG00000280088.1",0.02,1,"(0.747-1.39)","0.02","0.902",0.02,0.902,"RP11-135F9.3"
"ENSG00000235499.1",0.02,1,"(0.926-1.12)","0.16","0.686",0.16,0.686,"AC073046.25"
"ENSG00000245970.2",0.069,1.1,"(0.849-1.35)","0.34","0.559",0.34,0.559,"KB-1208A12.3"
"ENSG00000258199.1",0.16,1.2,"(0.895-1.53)","1.33","0.249",1.33,0.249,"RP11-977G19.5"
"ENSG00000269176.2",-0.038,0.96,"(0.745-1.24)","0.09","0.77",0.09,0.77,"RP11-727F15.12"
"ENSG00000206573.7",0.084,1.1,"(0.866-1.37)","0.52","0.471",0.52,0.471,"THUMPD3-AS1"
"ENSG00000261572.1",-0.012,0.99,"(0.751-1.3)","0.01","0.931",0.01,0.931,"RP11-384L8.1"
"ENSG00000240731.1",0.19,1.2,"(0.965-1.53)","2.74","0.0981",2.74,0.0981,"RP5-890O3.9"
"ENSG00000224397.4",0.065,1.1,"(0.89-1.28)","0.49","0.483",0.49,0.483,"LINC01272"
"ENSG00000224138.1",0.0053,1,"(0.904-1.12)","0.01","0.923",0.01,0.923,"AC000123.4"
"ENSG00000229729.5",-0.083,0.92,"(0.711-1.19)","0.4","0.527",0.4,0.527,"RP11-159G9.5"
"ENSG00000214194.7",0.0054,1,"(0.783-1.29)","0","0.966",0,0.966,"LINC00998"
"ENSG00000265415.1",-0.17,0.84,"(0.669-1.06)","2.18","0.14",2.18,0.14,"CTD-2510F5.4"
"ENSG00000236305.1",0.024,1,"(0.874-1.2)","0.09","0.763",0.09,0.763,"RP11-126L15.4"
"ENSG00000261526.2",0.1,1.1,"(0.873-1.4)","0.7","0.403",0.7,0.403,"CTB-31O20.2"
"ENSG00000271643.1",-0.1,0.9,"(0.7-1.17)","0.61","0.435",0.61,0.435,"RP11-10C24.3"
"ENSG00000267049.1",0.00082,1,"(0.877-1.14)","0","0.99",0,0.99,"AC002398.13"
"ENSG00000269867.1",0.069,1.1,"(0.848-1.35)","0.34","0.561",0.34,0.561,"CTD-2583A14.8"
"ENSG00000254910.1",0.13,1.1,"(0.997-1.3)","3.67","0.0554",3.67,0.0554,"RP11-326C3.7"
"ENSG00000235576.1",-0.045,0.96,"(0.878-1.04)","1.1","0.295",1.1,0.295,"AC092580.4"
"ENSG00000280128.1",0.16,1.2,"(0.926-1.49)","1.76","0.184",1.76,0.184,"XXbac-BPG283O16.9"
"ENSG00000248663.5",0.014,1,"(0.934-1.1)","0.11","0.746",0.11,0.746,"LINC00992"
"ENSG00000272086.1",-0.0086,0.99,"(0.808-1.22)","0.01","0.935",0.01,0.935,"CTD-2186M15.3"
"ENSG00000242125.3",-0.032,0.97,"(0.751-1.25)","0.06","0.808",0.06,0.808,"SNHG3"
"ENSG00000176912.3",0.0027,1,"(0.861-1.17)","0","0.972",0,0.972,"TYMSOS"
"ENSG00000277639.1",0.015,1,"(0.916-1.13)","0.09","0.769",0.09,0.769,"RP11-295M3.4"
"ENSG00000248275.1",0.016,1,"(0.723-1.43)","0.01","0.927",0.01,0.927,"TRIM52-AS1"
"ENSG00000259250.1",0.13,1.1,"(0.938-1.37)","1.69","0.193",1.69,0.193,"RP11-50C13.1"
"ENSG00000204054.10",0.43,1.5,"(1.07-2.21)","5.45","0.0195",5.45,0.0195,"LINC00963"
"ENSG00000268205.1",0.099,1.1,"(0.842-1.45)","0.52","0.473",0.52,0.473,"CTC-444N24.11"
"ENSG00000255455.2",0.03,1,"(0.823-1.29)","0.07","0.794",0.07,0.794,"RP11-890B15.3"
"ENSG00000224739.2",-6.3e-05,1,"(0.887-1.13)","0","0.999",0,0.999,"AC016735.1"
"ENSG00000263050.1",0.002,1,"(0.841-1.19)","0","0.982",0,0.982,"RP11-667K14.3"
"ENSG00000278385.1",0.0089,1,"(0.785-1.3)","0","0.945",0,0.945,"RP11-89H19.2"
"ENSG00000182165.16",-0.091,0.91,"(0.739-1.13)","0.71","0.398",0.71,0.398,"TP53TG1"
"ENSG00000272288.4",0.022,1,"(0.788-1.33)","0.03","0.867",0.03,0.867,"RP11-140K17.3"
"ENSG00000246067.6",0.091,1.1,"(0.852-1.41)","0.51","0.476",0.51,0.476,"RAB30-AS1"
"ENSG00000214049.6",0.009,1,"(0.933-1.09)","0.05","0.823",0.05,0.823,"UCA1"
"ENSG00000244459.2",0.14,1.1,"(1-1.32)","3.83","0.0504",3.83,0.0504,"RP11-1398P2.1"
"ENSG00000279253.1",0.12,1.1,"(0.924-1.39)","1.44","0.23",1.44,0.23,"RP4-614O4.13"
"ENSG00000272599.2",0.11,1.1,"(0.91-1.38)","1.13","0.287",1.13,0.287,"RP11-152N13.16"
"ENSG00000279427.1",0.0076,1,"(0.9-1.13)","0.02","0.895",0.02,0.895,"RP11-132F7.2"
"ENSG00000277969.1",0.058,1.1,"(0.787-1.43)","0.15","0.701",0.15,0.701,"CTB-58E17.1"
"ENSG00000238045.8",0.35,1.4,"(1.02-1.97)","4.38","0.0364",4.38,0.0364,"AC009133.12"
